dataset,region,policy_issue,rank,weight,issue
SURVEY9,서울,산업/경제,1,5.4,규제혁신
SURVEY9,서울,산업/경제,2,5,채용공정성
SURVEY9,서울,산업/경제,2,5,청년일자리 확대
SURVEY9,서울,산업/경제,3,4.9,청년취업 중소기업 장려
SURVEY9,서울,산업/경제,4,4.8,비정규직 채용공정성
SURVEY9,서울,산업/경제,5,4.5,골목상권 보호
SURVEY9,서울,산업/경제,6,4.2,소상공인·자영업자 생업안전망
SURVEY9,서울,산업/경제,7,4,취약계층 취업지원
SURVEY9,서울,산업/경제,8,3.9,중소벤처기업 지원
SURVEY9,서울,산업/경제,9,3.7,비정규직 제로화
SURVEY9,서울,산업/경제,9,3.7,스타트업도시(메카)
SURVEY9,서울,산업/경제,10,3.5,바이오AI산업
SURVEY9,서울,산업/경제,11,3.3,K푸드 육성
SURVEY9,서울,산업/경제,12,3.2,사회적경제 공제조합 육성
SURVEY9,서울,산업/경제,13,3.1,노사동반성장
SURVEY9,서울,산업/경제,13,3.1,중소기업 재직청년 지원
SURVEY9,서울,산업/경제,13,3.1,사회적경제 인적자원 육성
SURVEY9,서울,산업/경제,14,2.8,여성일자리 확대
SURVEY9,서울,산업/경제,15,2.6,서울캠퍼스타운 활성화
SURVEY9,서울,산업/경제,15,2.6,지역화폐
SURVEY9,서울,도시/지역발전,1,5.4,간선도로 상습정체 해결
SURVEY9,서울,도시/지역발전,2,5.3,수도권 과밀화
SURVEY9,서울,도시/지역발전,3,4.8,신규주택 공급
SURVEY9,서울,도시/지역발전,4,4.4,부동산 투기 근절
SURVEY9,서울,도시/지역발전,5,3.7,강북-강남 균형발전
SURVEY9,서울,도시/지역발전,5,3.7,전국대중교통 통합연계교통망
SURVEY9,서울,도시/지역발전,6,3.6,열차 내 혼잡
SURVEY9,서울,도시/지역발전,7,3.5,지하철 급행노선 확대
SURVEY9,서울,도시/지역발전,8,3.4,지역혁신성장 거점 설립
SURVEY9,서울,도시/지역발전,9,3.3,장기전세주택
SURVEY9,서울,도시/지역발전,9,3.3,재건축·재개발사업
SURVEY9,서울,도시/지역발전,10,3.2,그린서울
SURVEY9,서울,도시/지역발전,11,3.1,전기자동차 충전인프라 확충
SURVEY9,서울,도시/지역발전,12,3,도시외교
SURVEY9,서울,도시/지역발전,12,3,한강센트럴워터파크
SURVEY9,서울,도시/지역발전,13,2.7,남북도시협력
SURVEY9,서울,도시/지역발전,14,2.6,청년맞춤형 주택
SURVEY9,서울,도시/지역발전,15,2.5,강남순환로 요금인하
SURVEY9,서울,도시/지역발전,15,2.5,저소득층 공공임대주택
SURVEY9,서울,도시/지역발전,16,2.4,광역버스 확충
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,1,4,감염병 전문병원 확충
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,2,3.9,생활스포츠 인프라 확충
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,3,3.8,공공산후조리원 확대
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,3,3.8,학교안전
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,4,3.7,공공 장기요양시설
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,4,3.7,육아휴직
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,5,3.6,장기요양서비스
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,6,3.4,가정폭력
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,7,3.3,청소년 유해시설 관리
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,7,3.3,콘텐츠·관광산업 경쟁력 강화
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,8,3.2,1인가구복지
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,8,3.2,취약계층 의료접근성 강화
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,8,3.2,국공립어린이집 확대
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,9,3,여성폭력
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,10,2.9,보건의료인력 확대
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,11,2.8,문화예술계 불공정 근절
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,12,2.6,다문화교육 강화
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,13,2.5,근로자 휴가지원제도 확대
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,13,2.5,체육계 불공정 근절
SURVEY9,서울,사회복지/문화/여성가족/건강/보건,14,2.4,체류정책 개선
SURVEY9,서울,환경/소방/재난안전,1,6.2,재난신속대응
SURVEY9,서울,환경/소방/재난안전,2,6.1,범죄예방
SURVEY9,서울,환경/소방/재난안전,3,6,부실공사방지
SURVEY9,서울,환경/소방/재난안전,4,5.5,소방인력·장비 확충
SURVEY9,서울,환경/소방/재난안전,4,5.5,재활용
SURVEY9,서울,환경/소방/재난안전,5,5.3,상수원보전
SURVEY9,서울,환경/소방/재난안전,6,5,산업재해대책(사회재난)
SURVEY9,서울,환경/소방/재난안전,6,5,안전한 먹거리
SURVEY9,서울,환경/소방/재난안전,7,4.7,도심 물관리 시스템
SURVEY9,서울,환경/소방/재난안전,7,4.7,산업재해대책(자연재난)
SURVEY9,서울,환경/소방/재난안전,8,4.4,친환경자동차
SURVEY9,서울,환경/소방/재난안전,9,4.1,사이버안보
SURVEY9,서울,환경/소방/재난안전,9,4.1,재생에너지
SURVEY9,서울,환경/소방/재난안전,10,4,쓰레기매립지 확보
SURVEY9,서울,환경/소방/재난안전,11,3.9,주민밀착형 치안
SURVEY9,서울,환경/소방/재난안전,12,3.8,탄소중립
SURVEY9,서울,환경/소방/재난안전,13,3.6,미세먼지 배출총량제
SURVEY9,서울,환경/소방/재난안전,13,3.6,전기차보급
SURVEY9,서울,환경/소방/재난안전,14,3.5,음식물쓰레기 처리 간편화
SURVEY9,서울,환경/소방/재난안전,15,3.4,도심하천 국가관리
SURVEY9,서울,정치/행정자치,1,6.5,양성평등 문화 확산
SURVEY9,서울,정치/행정자치,1,6.5,전문성 향상
SURVEY9,서울,정치/행정자치,2,5.6,교육격차 해소
SURVEY9,서울,정치/행정자치,3,5.3,재정독립성
SURVEY9,서울,정치/행정자치,4,5.2,공교육 강화
SURVEY9,서울,정치/행정자치,5,5,자치단체역량 강화
SURVEY9,서울,정치/행정자치,6,4.9,정책역량 강화
SURVEY9,서울,정치/행정자치,7,4.6,주민투표제
SURVEY9,서울,정치/행정자치,8,4.5,주민자치회 직선제
SURVEY9,서울,정치/행정자치,9,3.8,자치구 통폐합
SURVEY9,서울,정치/행정자치,10,3.7,국세 차등 배분
SURVEY9,서울,정치/행정자치,11,3.6,산업별 인력교육 강화
SURVEY9,서울,정치/행정자치,12,3.5,시민입법플랫폼 도입
SURVEY9,서울,정치/행정자치,12,3.5,입법역량 강화
SURVEY9,서울,정치/행정자치,13,3.3,자치분권 확대
SURVEY9,서울,정치/행정자치,13,3.3,행정수도 이전
SURVEY9,서울,정치/행정자치,13,3.3,자치입법권 확대
SURVEY9,서울,정치/행정자치,14,3.2,국가장학금 확대
SURVEY9,서울,정치/행정자치,15,3.1,지방교부세율 현실화
SURVEY9,서울,정치/행정자치,16,2.4,서울 분할
SURVEY9,부산,산업/경제,1,4.6,중년 일자리 확대
SURVEY9,부산,산업/경제,2,3.8,공공형 일자리 발굴
SURVEY9,부산,산업/경제,3,3.7,청년 취창업 확대
SURVEY9,부산,산업/경제,4,3.6,부산테크노밸리 조성
SURVEY9,부산,산업/경제,5,3.3,금융 공공기관 유치
SURVEY9,부산,산업/경제,5,3.3,의료 휴양 관광벨트
SURVEY9,부산,산업/경제,6,3.2,디지털 전문인력 양성
SURVEY9,부산,산업/경제,7,3.1,공공근로 확대
SURVEY9,부산,산업/경제,7,3.1,스마트형 4차 산업 일자리
SURVEY9,부산,산업/경제,8,3,제2센터 도시첨단산업단지
SURVEY9,부산,산업/경제,9,2.9,공공일자리 정보 제공
SURVEY9,부산,산업/경제,9,2.9,해양수산부 이전
SURVEY9,부산,산업/경제,9,2.9,산업은행 이전
SURVEY9,부산,산업/경제,9,2.9,북항 경제자유구역 지정
SURVEY9,부산,산업/경제,10,2.8,문현혁신지구 금융클러스터 확대
SURVEY9,부산,산업/경제,10,2.8,한국해양진흥공사 강화
SURVEY9,부산,산업/경제,10,2.8,스마트 일자리 정보제공
SURVEY9,부산,산업/경제,11,2.7,첨단지능 기계부품 산업단지
SURVEY9,부산,산업/경제,12,2.5,국가스마트 사업
SURVEY9,부산,산업/경제,13,2.3,해운기업 본사 유치
SURVEY9,부산,도시/지역발전,1,5,부동산 가격 안정
SURVEY9,부산,도시/지역발전,2,4.4,유료도료 무료화
SURVEY9,부산,도시/지역발전,3,3.9,도시철도 연장
SURVEY9,부산,도시/지역발전,3,3.9,생활편의시설 확충
SURVEY9,부산,도시/지역발전,3,3.9,동서부산 균형발전
SURVEY9,부산,도시/지역발전,4,3.8,2030 부산 엑스포
SURVEY9,부산,도시/지역발전,5,3.6,가덕신공항 조기 완공
SURVEY9,부산,도시/지역발전,6,3.5,부울경 메가시티
SURVEY9,부산,도시/지역발전,7,3.2,도시철도 신규 건설
SURVEY9,부산,도시/지역발전,8,3.1,전월세 가격 안정
SURVEY9,부산,도시/지역발전,9,2.7,도심 개조
SURVEY9,부산,도시/지역발전,9,2.7,재개발 활성화
SURVEY9,부산,도시/지역발전,10,2.4,경부선 지하화
SURVEY9,부산,도시/지역발전,10,2.4,재건축 규제완화
SURVEY9,부산,도시/지역발전,11,2.3,가덕신공항 공항공사
SURVEY9,부산,도시/지역발전,11,2.3,재건축/재개발 기간 단축
SURVEY9,부산,도시/지역발전,11,2.3,북항재개발
SURVEY9,부산,도시/지역발전,12,2.2,청년 주거 안정
SURVEY9,부산,도시/지역발전,12,2.2,청년주거기금
SURVEY9,부산,도시/지역발전,13,2.1,도시가스 보급 확대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,1,3.7,대형 대학병원 유치
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,2,3.4,공공요양시설 확대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,3,3.3,복지사각지대 개선
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,4,3.1,국민체육센터 설립
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,4,3.1,국제영화제 개최 확대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,5,3,경력단절여성 일자리 창출
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,5,3,마을도서관 건립
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,5,3,돔야구장 건설
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,5,3,국공립 어린이집 확대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,5,3,교육발전기금 조성
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,6,2.9,생활복지 지원 확대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,6,2.9,코로나19 회복 지원
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,고교무상급식 활대
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,침례병원 공공병원화
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,아동학대 케어센터 설치
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,서부산의료원 조기 완공
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,권역별 생활체육시설
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,7,2.8,국가 박물관 분원 유치
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,8,2.7,어린이 놀이시설(키즈카페·놀이터) 확충
SURVEY9,부산,사회복지/문화/여성가족/건강/보건,9,2.6,24시간 아동전문병원 설립
SURVEY9,부산,환경/소방/재난안전,1,4.2,노후소방차 교체
SURVEY9,부산,환경/소방/재난안전,1,4.2,안전기준 강화
SURVEY9,부산,환경/소방/재난안전,2,4.1,소방인력 확충
SURVEY9,부산,환경/소방/재난안전,2,4.1,소방차 진입로 확보
SURVEY9,부산,환경/소방/재난안전,3,4,재난대책 강화
SURVEY9,부산,환경/소방/재난안전,4,3.9,재활용품 사용 확대
SURVEY9,부산,환경/소방/재난안전,5,3.8,원전안전 감시체계 강화
SURVEY9,부산,환경/소방/재난안전,5,3.8,초미세먼지 저감대책
SURVEY9,부산,환경/소방/재난안전,6,3.4,UN기념공원 유네스코 세계문화유산 등재
SURVEY9,부산,환경/소방/재난안전,6,3.4,일회용품 저감 대책
SURVEY9,부산,환경/소방/재난안전,6,3.4,쓰레기 재활용 강화
SURVEY9,부산,환경/소방/재난안전,7,3.3,재난물품 사전 비축
SURVEY9,부산,환경/소방/재난안전,8,3.2,쓰레기 줄이기
SURVEY9,부산,환경/소방/재난안전,8,3.2,친환경 버스 확충
SURVEY9,부산,환경/소방/재난안전,9,3.1,대개오염물질 배출시설 규제
SURVEY9,부산,환경/소방/재난안전,9,3.1,삼락생태공원 국가정원화
SURVEY9,부산,환경/소방/재난안전,10,3,금정산 국립공원 지정
SURVEY9,부산,환경/소방/재난안전,10,3,쓰레기 종량제 개선
SURVEY9,부산,환경/소방/재난안전,11,2.9,수질유해물질 배출량 저감
SURVEY9,부산,환경/소방/재난안전,11,2.9,신재생에너지 클러스터 구축
SURVEY9,부산,정치/행정자치,1,9.5,부울경 광역환승할인제 도입
SURVEY9,부산,정치/행정자치,2,8.7,주민자치위원회 활성화
SURVEY9,부산,정치/행정자치,3,8.5,광역교통망 구축
SURVEY9,부산,정치/행정자치,4,7.4,시민행복지수
SURVEY9,부산,정치/행정자치,5,7.3,광역전철화
SURVEY9,부산,정치/행정자치,5,7.3,동해남부선 배차 확대
SURVEY9,부산,정치/행정자치,6,6.8,개방형 감사관제
SURVEY9,부산,정치/행정자치,7,6.5,시민청원제
SURVEY9,부산,정치/행정자치,8,5,경전선 조기 개통
SURVEY9,부산,정치/행정자치,8,5,부울경 GTX 건설
SURVEY9,부산,정치/행정자치,9,4.8,노포-양산 순환 전철
SURVEY9,부산,정치/행정자치,10,4.7,광역 BRT 확대
SURVEY9,부산,정치/행정자치,11,4.1,마을공동체 활성화
SURVEY9,부산,정치/행정자치,12,4,시민정책박람회 개최
SURVEY9,부산,정치/행정자치,13,3.8,단체장 자치회의 정례화
SURVEY9,부산,정치/행정자치,14,3.6,행복영향평가제
SURVEY9,부산,정치/행정자치,15,1.6,고위직 여성 할당제
SURVEY9,부산,정치/행정자치,16,1.3,여성 부시장 신설
SURVEY9,대구,산업/경제,1,5.8,사회적 경제 활성화
SURVEY9,대구,산업/경제,2,4.7,대구국가 스마트 기술산업단지 건설
SURVEY9,대구,산업/경제,3,4.4,지역인재채용
